intervention_id,teacher_id,initial_engagement,initial_attention,initial_retention,intervention_applied,duration_weeks,final_engagement,final_attention,final_retention,improvement_percentage,success_level
int_001,T002,45,40,48,slow_pace_increase_questions,3,68,62,65,51,high
int_002,T003,38,35,42,active_learning_activities,4,62,58,60,58,high
int_003,T005,50,48,50,wait_time_training,2,65,63,62,26,medium
int_004,T007,42,38,45,positive_reinforcement_socratic,4,64,60,62,52,high
int_005,T009,48,45,46,reduce_lecture_increase_interaction,5,70,68,68,48,high
int_006,T010,52,50,54,multimodal_teaching,3,68,66,68,30,medium
int_007,T013,40,42,44,energy_enthusiasm_training,3,58,60,58,43,medium
int_008,T014,55,50,52,structured_activities,2,68,64,64,24,medium
int_009,T021,56,54,58,pace_adjustment_scaffolding,2,70,68,70,25,medium
int_010,T022,60,58,60,question_balance_training,2,72,70,72,20,medium
int_011,T023,62,60,62,formative_assessment_checks,3,76,74,76,23,medium
int_012,T024,36,34,40,complete_redesign_engagement_first,6,65,62,64,80,very_high
int_013,T025,44,40,42,clarity_training_examples,4,66,64,66,50,high
int_014,T002,68,62,65,maintain_add_peer_teaching,2,78,74,76,15,low
int_015,T003,62,58,60,spaced_repetition_implementation,3,74,70,74,19,medium
int_016,T026,85,82,78,peer_observation_sharing,2,88,86,82,4,low
int_017,T027,72,68,65,inquiry_based_learning,4,82,78,78,14,medium
int_018,T028,54,52,56,think_aloud_modeling,3,68,66,70,26,medium
int_019,T029,46,44,48,game_based_learning,4,68,66,68,48,high
int_020,T030,38,36,42,relationship_building_first,5,64,62,64,68,high
int_021,T031,58,55,58,real_world_connections,3,72,70,72,24,medium
int_022,T032,50,48,52,movement_breaks_brain_teasers,2,64,62,66,28,medium
int_023,T033,42,40,46,positive_climate_growth_mindset,4,64,62,64,52,high
int_024,T034,88,86,82,documentation_mentoring,2,90,88,85,2,low
int_025,T035,35,32,38,emergency_intervention_engagement,6,60,58,60,71,very_high
int_026,T036,74,72,70,collaborative_learning_structures,3,82,80,78,11,low
int_027,T037,64,62,64,student_choice_differentiation,3,76,74,76,19,medium
int_028,T038,56,54,58,technology_integration,4,72,70,72,29,medium
int_029,T039,78,76,74,peer_feedback_opportunities,2,84,82,80,8,low
int_030,T040,40,38,44,immediate_active_learning_switch,4,62,60,62,55,high
int_031,T041,52,50,54,visual_aids_demonstrations,3,68,66,68,30,medium
int_032,T042,48,46,50,cold_calling_with_support,3,66,64,66,38,medium
int_033,T043,44,42,46,think_pair_share_implementation,3,64,62,64,45,high
int_034,T044,70,68,66,retrieval_practice_quizzes,3,80,78,80,14,medium
int_035,T045,36,34,40,stop_reset_games_celebration,5,62,60,62,72,very_high
int_036,T046,66,64,66,concept_mapping_jigsaw,3,78,76,78,18,medium
int_037,T047,58,56,60,increase_student_talk_time,3,74,72,74,28,medium
int_038,T048,54,52,56,formative_assessment_apps,2,68,66,68,26,medium
int_039,T049,76,74,72,action_research_project,4,84,82,82,11,low
int_040,T050,42,40,46,lesson_redesign_60_active,5,68,66,68,62,high
