date,engagement,attention,retention,curiosity,teacher_impact,wpm,questions,interaction_rate
2024-01-15,45,40,48,35,52,195,8,25
2024-01-16,48,43,50,38,54,190,9,28
2024-01-17,52,46,53,42,57,185,10,32
2024-01-18,55,50,56,45,60,180,11,35
2024-01-19,58,53,59,48,63,175,12,38
2024-01-22,62,56,62,52,66,170,13,42
2024-01-23,65,60,65,55,69,165,14,45
2024-01-24,68,63,68,58,72,160,15,48
2024-01-25,70,66,70,62,74,158,16,52
2024-01-26,72,68,72,65,76,155,17,55
2024-01-29,74,70,74,68,78,152,18,58
2024-01-30,76,72,76,70,80,150,19,62
2024-01-31,78,74,78,72,82,148,20,65
2024-02-01,80,76,80,74,84,146,21,68
2024-02-02,82,78,82,76,86,145,22,72
